Token	True Label	Predicted Label
you	c	i
would	c	i
like	c	c
to	c	i
have	c	c
in	c	c
the	c	c
letter	c	c
.	c	i

If	c	i
you	c	i
need	c	c
any	c	c
information	i	c
,	c	c
please	c	c
let	c	c
me	c	i
know	c	c
.	c	i

Your	i	i
Sincerely	i	c
,	c	c

Power	i	c
Of	c	c
Computurs	c	i
.	c	c

How	c	c
much	c	c
can	c	c
a	c	c
computer	c	c
affect	c	c
your	c	i
life	c	c
?	c	c

I	c	c
think	c	c
it	c	c
effects	i	c
more	i	c
than	c	c
you	c	i
think	c	c
.	c	c

When	c	i
I	c	i
was	c	i
a	c	c
child	c	c
I	c	i
always	c	i
wanted	c	i
to	c	i
get	c	i
the	c	i
lyrics	c	c
of	c	i
the	c	i
songs	c	c
that	c	c
I	c	i
liked	c	i
,	c	c
but	c	i
it	c	i
was	c	i
nearly	c	c
impossible	c	i
to	c	i
have	c	i
them	c	i
.	c	i

I	c	i
felt	c	c
lack	i	i
of	c	c
them	c	c
.	c	c

I	c	i
first	c	i
bought	c	i
a	c	c
computer	c	c
as	i	c
I	c	i
was	c	c
in	c	c
university	c	c
.	c	i

It	c	i
was	c	i
so	i	i
necessary	c	i
for	c	i
me	c	i
because	c	c
I	c	i
wanted	c	i
to	c	i
be	c	i
a	c	c
computer	c	c
programmer	c	c
.	c	i

That	i	c
time	c	c
I	c	c
met	i	c
the	c	c
magic	c	c
world	c	c
of	c	c
computers	c	c
.	c	c

Linking	c	c
to	c	c
the	c	c
internet	i	c
was	c	c
so	c	c
popular	c	c
.	c	c

Internet	i	c
was	c	c
something	c	c
amazing	c	c
for	c	c
me	c	c
.	c	c

Can	c	c
you	c	i
think	i	c
you	c	i
have	c	c
every	c	c
information	i	c
you	c	i
need	c	i
whenever	c	c
you	c	i
want	c	i
?	i	c

Can	c	c
you	c	c
think	i	c
you	c	c
contact	i	c
with	i	c
anyone	c	c
who	c	c
is	c	c
from	c	c
any	c	c
country	c	c
whenever	c	c
you	c	i
want	c	i
?	i	c

I	c	i
meet	c	c
a	c	c
lot	c	c
of	c	c
people	c	c
on	c	c
internet	i	c
and	c	c
it	c	c
really	c	c
interest	i	c
me	c	c
.	c	c

I	c	i
learn	c	c
a	c	c
lot	c	c
about	c	i
their	c	c
culture	c	c
by	c	c
speaking	c	c
them	i	c
on	c	c
internet	i	c
.	c	c

I	c	i
was	c	i
n't	c	i
able	c	c
to	c	c
imagine	c	c
this	c	c
before	c	c
.	c	c

In	c	c
addition	c	c
this	i	c
,	c	c
today	c	c
companies	c	c
can	c	c
do	c	i
nothing	c	c
without	c	c
a	c	c
computer	c	c
.	c	i

Everything	c	c
in	c	c
this	c	c
world	c	c
works	i	c
with	c	c
computers	c	c
from	c	i
now	c	c
on	c	c
.	c	i

Computers	c	c
changed	i	i
my	c	i
life	i	c
style	i	c
,	c	c
my	c	i
opinion	i	c
about	c	c
the	c	i
world	c	i
.	c	i

And	c	c
they	c	c
effect	i	c
everyone	c	c
's	c	c
life	c	c
directly	c	c
or	c	c
indirectly	c	i
.	c	c

Dar	i	c
Mrs.	c	c
Maria	c	c
Smith	c	c
,	c	c

I	c	c
am	c	c
very	c	c
glad	c	c
to	c	c
help	c	c
you	c	i
about	i	c
the	c	c
International	c	c
Student	c	c
Conference	c	c
.	c	c

I	c	i
hope	c	c
that	c	c
our	c	c
friend	c	c
Richard	c	c
Brown	c	c
does	c	c
n't	c	i
have	c	c
any	c	c
serious	c	c
willness	i	c
.	c	c

Referent	i	c
,	c	c
where	c	c
is	c	c
the	c	c
conference	c	c
.	i	c

This	c	c
will	c	c
be	c	c
in	c	c
the	c	c
Casino	c	i
Hotel	c	c
and	c	c
we	c	c
do	c	i
n't	c	i
need	c	i
to	c	i
worry	c	c
for	i	c
the	c	c
best	c	i
way	c	i
because	i	c
in	i	c
all	c	c
the	c	c
main	c	c
routes	c	c
in	c	c
Devonport	c	c
have	c	c
signs	c	c
with	i	c
correct	c	c
way	c	c
to	c	c
the	i	c
popular	c	c
hotel	c	c
.	c	c

After	c	c
finish	i	i
the	c	c
conference	c	c
,	c	c
there	c	c
is	c	c
a	c	c
party	c	i
in	c	c
same	i	i
hotel	c	c
.	c	i

In	i	c
this	c	c
party	c	c
there	i	c
are	i	i
;	i	c
some	c	c
foods	i	c
,	c	c
soft	c	c
drinks	c	c
,	c	c
music	c	c
and	c	c
a	c	c
special	c	c
place	c	c
for	c	c
dancing	c	c
.	c	i

This	c	c
party	c	c
is	c	c
for	c	i
the	c	i
students	c	c
so	c	c
the	c	c
kinds	i	c
of	i	c
clouthes	i	c
wo	c	c
n't	c	i
be	c	i
so	c	i
formal	c	i
.	c	c

On	c	c
the	c	c
day	i	c
free	i	c
before	c	c
catch	i	i
our	c	c
plane	c	c
.	i	c

We	i	i
could	i	i
chouse	i	i
two	i	c
options	c	i
for	i	i
spending	i	i
our	c	c
free	c	c
time	c	c
.	c	i

One	c	c
is	c	c
a	c	c
guide	i	c
tour	c	c
on	i	c
center	i	c
city	i	c
,	c	c
and	c	c
another	c	c
is	c	c
visiting	c	i
the	c	c
chocolate	c	i
factory	c	i
.	c	i

Please	c	c
,	c	c
if	c	c
you	c	i
have	c	i
any	c	i
more	c	c
question	i	c
,	c	c
please	c	c
call	c	c
me	c	i
at	i	c
38755980	c	c
.	c	i

I	c	i
can	c	i
live	c	i
without	c	c
this	c	c
.	c	c

In	i	c
our	i	c
lifes	i	i
,	i	c
may	i	c
be	i	i
,	i	c
could	i	i
n't	i	i
be	i	c
without	i	c
electricity	i	i
.	c	c

Some	c	c
people	c	c
can	c	i
live	c	c
without	c	i
this	c	c
,	c	c
but	c	i
I	c	i
am	c	c
sure	c	c
that	c	c
the	c	c
world	c	c
would	c	c
be	c	i
very	c	c
different	c	i
.	c	c

When	c	c
we	c	i
are	i	i
using	i	i
different	c	i
equipments	i	i
in	c	c
our	c	i
houses	i	i
,	c	c
we	c	i
are	c	i
using	c	i
the	i	i
electricity	c	i
.	c	c

Small	i	i
things	i	i
but	i	i
very	i	i
importants	i	i
in	i	c
our	i	i
lifes	i	i
.	i	i

For	i	i
example	i	i
:	i	i
T.V.	i	i
,	i	c
computer	i	c
,	i	c
just	i	i
light	i	i
and	i	c
a	i	c
long	i	i
list	i	i
that	i	c
now	i	c
I	i	i
can	i	i
not	i	c
write	i	c
.	c	i

I	c	i
do	c	i
n't	c	i
like	c	i
tinking	i	i
,	i	i
my	c	i
house	c	i
of	i	i
my	c	i
life	c	c
,	i	c
without	c	i
all	c	i
this	i	i
facilities	c	i
.	c	i

In	c	c
winter	c	c
when	i	c
is	i	i
dark	i	i
very	i	c
early	i	c
,	i	c
and	i	c
after	i	i
,	i	c
I	i	i
need	i	i
to	i	i
spent	i	i
my	i	i
free	i	c
time	i	c
in	i	c
home	i	i
.	c	i

What	c	i
I	i	i
can	i	i
do	c	i
without	c	c
my	c	i
music	c	c
and	c	c
my	c	i
computer	c	c
.	i	i

Now	c	c
,	c	c
just	i	i
you	i	i
need	c	i
to	c	i
think	c	c
that	i	c
you	i	i
would	i	c
do	i	i
or	i	c
what	i	c
would	i	c
happen	i	i
in	i	c
a	i	c
city	i	c
,	i	c
with	i	c
a	i	c
car	i	i
,	i	c
aeroplans	i	i
,	i	c
shoops	i	i
,	i	c
all	i	i
these	i	i
things	i	i
without	i	i
lights	i	c
.	c	i

Finally	c	i
.	i	i

I	c	i
think	c	c
that	c	c
everybody	c	c
know	i	i
that	c	c
the	i	i
electricity	c	i
is	c	c
very	i	c
important	c	c
invent	i	c
and	c	c
for	c	c
me	c	c
it	c	c
is	c	c
the	c	i
best	c	i
.	c	i

Dear	c	c
:	i	c
Mrs	c	c
Maria	i	c
Smith	c	c

I	c	i
am	c	c
replying	c	c
your	i	c
letter	c	c
for	i	c
the	c	c
help	c	c
you	i	i
're	i	c
being	i	c
need	c	i
.	c	c

I	c	i
am	c	c
plece	i	i
to	c	i
tell	i	c
the	c	c
information	c	c
do	i	c
you	c	i
need	c	c
for	c	c
the	c	c
group	c	c
.	c	c

The	c	c
Hotel	i	c
I	c	c
was	i	c
be	i	c
booked	i	i
is	c	c
Palace	i	i
Hotel	c	c
wiche	i	i
is	c	c
in	c	c
the	c	c
center	c	c
of	c	c
London	c	c
just	c	c
tow	i	c
blokes	i	c
from	c	i
Victoria	c	i
stations	i	c
.	c	c

I	c	c
think	c	c
It	i	c
is	c	c
verey	i	i
convenit	i	c
for	c	c
the	c	c
group.	c	c
you	i	i
know	c	i
Victoria	i	i
area	c	c
is	i	c
easy	c	c
to	c	c
travel	c	c
from	c	i
there	c	i
to	c	i
the	c	c
rest	c	c
of	c	c
the	c	c
city.	c	c
about	i	i
the	c	c
Hotel	i	i
is	i	c
cling	i	i
,	c	c
and	c	c
have	i	c
a	c	c
good	c	i
serves	i	c
the	i	c
rooms	c	i
are	c	c
dobuels	i	i
and	c	c
neche	i	c
have	i	c
owe	i	i
bathroom	c	i
ant	i	i
for	c	i
the	c	c
nomber	i	i
of	c	c
student	i	c
we	c	c
get	i	i
a	i	c
good	c	i
Valud.	i	i
and	i	c
the	c	i
best	c	i
way	c	i
to	c	i
get	c	i
the	i	i
College	c	i
for	c	c
the	c	c
Conference	i	i
is	c	c
walking	i	i
to	c	i
the	i	c
Victoria	c	i
station	c	c
get	i	c
the	c	c
tram	c	i
to	c	i
Glouster	c	c
Road	c	c
and	c	c
3	i	c
blokes	i	c
to	i	c
the	c	c
letur	i	i
hand	i	i
you	i	i
will	c	c
found	i	c
the	c	c
College	c	i
.	c	i

Howeve	i	c
I	c	c
am	c	c
goign	i	i
to	c	c
make	c	c
a	c	c
plan	c	c
for	c	c
acche	i	c
student	c	c
with	c	c
all	c	c
of	c	c
the	c	c
diteil	i	i
and	c	c
adres	i	c
.	c	c

About	c	c
the	c	c
party	c	i
in	i	c
the	c	c
end	c	c
of	c	c
conference	c	c
we	i	c
organise	i	c
in	i	c
the	c	c
same	c	c
hotel	c	i
whict	i	c
have	i	c
a	c	c
nice	c	c
salon	i	c
.	c	i

Will	i	c
b	i	c
good	c	c
for	c	c
yor	i	i
group	c	c
you	i	i
do	c	c
n't	c	i
need	c	i
move	i	i
to	c	i
anoder	i	c
place	c	i
.	c	c

We	c	i
'll	c	c
have	c	c
drink	i	c
and	i	c
food	i	c
and	c	c
music	c	c
for	c	c
dance	i	c
.	c	i

It	c	c
is	c	c
not	c	c
a	c	c
formal	c	c
party	c	c
so	c	c
I	c	c
thing	i	c
is	i	c
faind	i	c
wear	i	c
somethig	i	c
no	i	c
too	c	c
formal	c	i
.	c	c

I	c	i
whant	i	c
to	c	i
suggestions	c	c
for	c	c
the	c	c
last	c	i
day	c	c
you	i	i
and	c	c
your	c	c
group	c	c
may	i	c
be	i	c
go	c	c
to	c	i
Green	c	c
Park	c	i
and	c	c
visite	i	i
the	c	i
Queen	i	i
House	i	i
and	c	c
the	i	c
Parlamente	i	i
this	i	c
area	c	c
is	c	c
very	c	c
nice	c	c
and	c	c
The	i	c
group	c	c
would	c	c
engoin	i	c
aftha	i	c
the	c	c
conference	c	c
get	i	c
Freche	i	c
ear	i	c
ore	i	i
another	i	c
obction	i	c
could	c	c
be	c	c
The	i	c
new	c	c
tell	i	c
galery	i	c
I	i	i
never	i	c
been	i	c
there	c	i
but	c	i
could	i	c
be	c	c
a	c	c
good	c	c
esxuse	i	c
for	i	c
visite	i	i
It	i	c
with	c	c
you	c	i
.	c	i

I	c	c
have	c	c
been	c	c
hearing	c	c
about	c	c
the	c	c
Ave	i	c
they	c	c
have	c	c
in	c	c
Exivicuion	i	c
is	i	c
interesting	c	c
.	c	c

I	c	i
hope	c	c
you	c	i
found	c	c
thes	i	c
letter	c	c
uselfuel	i	i
and	c	c
If	i	c
you	c	i
have	c	c
nay	i	c
question	i	c
let	i	c
my	i	i
know	c	c
.	c	c

I	c	c
am	c	c
looking	c	c
forway	i	c
to	c	c
see	i	c
you	c	i
soon	c	c
.	c	c

The	c	c
Computer	i	c
was	c	c
invented	c	c
30	c	c
year	i	i
or	c	c
mor	i	c
ago	c	c
and	c	c
estart	i	c
lake	i	c
a	i	c
procesing	i	c
information	c	c
with	c	c
a	c	c
big	c	c
cad	i	c
was	i	c
perfored	i	i
and	c	c
maked	i	i
a	c	c
smol	i	i
hold	i	i
and	c	c
aeche	i	c
hold	i	i
mean	i	c
something	c	c
lake	i	i
a	c	c
Codig	i	c
.	c	c

The	c	c
maching	i	i
was	i	c
used	c	i
for	c	i
read	i	c
this	c	c
cad	i	c
was	c	c
too	i	i
big	c	c
you	i	i
use	i	i
to	c	i
need	c	i
a	c	c
room	c	c
for	c	c
our	i	c
Computer	i	c
.	c	c

I	c	c
remember	c	c
when	c	c
I	c	i
had	c	c
the	c	c
fare	i	c
lesson	c	i
in	i	c
the	c	i
Univerty	i	i
and	c	c
the	c	c
ticher	i	i
took	c	c
as	i	i
to	c	i
the	c	c
Computer	c	c
Center	c	c
an	i	c
I	c	c
sow	i	i
these	c	c
machins	i	i
all	i	c
my	c	i
College	i	c
an	i	c
my	i	c
were	c	c
lofing	i	c
was	c	c
very	c	c
dificul	i	i
Imagent	i	c
how	c	i
you	c	i
Can	i	c
work	c	c
in	i	c
these	i	i
Kan	i	i
of	c	i
Computer	i	c
.	c	i

In	i	c
these	i	i
days	c	c
the	c	c
Computer	i	c
is	c	c
part	c	c
of	c	c
the	i	c
own	i	i
life	c	c
you	i	i
use	c	i
it	c	c
all	c	c
the	c	c
time	c	c
some	i	c
time	i	c
you	c	i
do	c	i
persona	i	i
or	i	c
anoder	i	c
is	i	c
Jost	i	i
the	c	c
thingh	i	i
you	c	i
need	c	i
do	i	i
like	c	c
go	c	c
to	c	i
the	c	c
bank	c	i
,	c	c
us	i	i
the	i	i
transpor	i	i
,	c	c
go	c	c
for	i	i
shoping	i	i
etc.	c	i
is	i	c
a	c	c
maching	i	i
make	i	i
the	i	i
life	c	i
easy	c	i
and	c	c
ibendow	i	c
you	c	i
can	c	c
cari	i	i
it	c	c
every	i	c
where	i	i
is	i	c
amaising	i	i
the	c	c
way	c	i
as	i	c
the	i	c
fas	i	i
the	c	c
computer	c	c
changes	c	c
the	i	c
programas	i	c
are	c	c
mor	i	i
quicks	i	i
and	c	c
For	i	i
useful	c	i
and	c	c
practicals	i	i

But	i	c
the	c	c
Computer	i	c
have	i	c
the	i	c
bad	c	c
sead	i	c
to	i	c
I	i	c
whand	i	c
mean	i	c
we	i	c
life	i	c
aeche	i	c
day	c	c
depende	i	c
mor	i	c
and	c	c
mor	i	i
for	i	i
It	i	c
.	c	c

So	c	c
I	c	i
feel	c	c
ascere	i	c
when	c	c
I	c	i
thing	i	i
about	c	c
the	c	c
consercuencias	i	c
if	c	c
some	c	c
of	c	c
the	c	c
virus	i	c
or	c	c
mad	c	c
prapoel	i	i
make	i	c
bad	i	c
use	i	c
lake	i	c
hapen	i	c
thise	i	c
days	c	c
with	c	c
the	i	i
sex	c	c
or	c	c
other	c	i
.	c	c

I	c	c
work	c	c
with	c	c
children	c	c
an	i	c
the	c	c
Computer	i	c
help	i	c
my	i	c
Jop	i	c
bat	i	c
affeted	i	c
to	i	i
.	c	c

So	c	c
I	c	i
hope	c	c
the	c	c
Wold	i	c
meke	i	c
Consense	i	c
about	c	c
and	i	c
the	i	c
Inguener	i	i
in	i	c
Compueter	i	i
work	i	c
have	c	i
in	i	c
estop	i	c
these	c	c
probleme	i	c
because	c	c
some	i	c
good	c	i
could	c	c
be	c	c
some	i	c
thig	i	i
very	c	c
danger	i	c
.	c	i

With	c	c
reference	c	i
to	c	c
the	c	c
information	c	c
that	c	c
you	c	i
had	i	c
requested	i	c
,	c	c
the	c	c
hotel	c	c
that	c	c
had	i	c
been	i	c
booked	i	c
is	c	c
the	c	c
Holiday	c	c
Inn	c	i
,	c	c
in	c	c
New	c	c
Port	c	c
and	c	c
to	c	i
get	c	i
to	c	i
the	c	i
University	c	i
of	c	c
Wales	c	c
wich	i	c
is	c	c
not	c	c
far	c	c
from	c	i
the	c	c
hotel	c	c
,	c	c
you	c	i
only	c	i
need	c	c
to	c	i
take	i	c
a	i	c
divertion	i	i
where	i	c
clearly	i	c
indicate	i	c
Carleon	i	i
and	c	c
once	c	c
that	i	c
you	c	i
are	c	c
on	c	c
the	c	c
main	c	c
road	c	c
all	i	c
you	c	i
need	c	c
to	c	c
do	c	i
is	c	c
to	c	c
follow	c	c
the	c	c
country	c	c
road	c	c
which	c	c
take	i	c
you	c	i
direct	i	c
to	c	i
the	c	c
place	c	i
.	c	c

Concerning	c	c
to	i	c
the	c	c
Party	i	c
at	c	c
the	c	c
end	c	c
of	c	c
the	c	c
Conference	i	c
,	c	c
this	c	c
will	c	c
be	c	c
formal	c	c
there	i	c
fore	i	c
you	c	i
will	c	c
need	c	i
formal	c	c
clouding	i	c
as	i	c
you	c	c
know	c	c
there	c	c
will	c	c
be	c	c
Company	i	c
directors	c	c
,	c	c
Managers	i	c
etc	c	c
.	i	c

As	c	c
for	c	i
the	c	c
last	c	i
day	c	c
I	i	i
would	c	c
suggest	c	c
you	c	i
to	i	c
take	i	c
a	c	c
visit	c	c
to	c	i
the	c	c
locall	i	c
museum	c	i
and	c	c
the	c	c
ruin	i	i
's	i	c
Castle	i	c
.	c	c

In	c	c
the	c	c
fist	i	c
you	c	i
will	c	c
find	c	c
a	c	c
very	c	c
intresting	i	c
collection	c	c
of	c	c
Roman	c	i
Vestiges	i	c
,	c	c
also	c	c
you	c	i
can	c	c
visit	c	c
another	c	c
section	c	c
wich	i	c
it	i	c
supoused	i	c
to	c	c
be	c	c
a	c	c
Roman	c	i
cite	i	c
.	c	i

Yours	c	c
Sincerely	i	c
,	c	c

I	c	i
always	c	i
had	c	c
consider	i	i
myself	c	i
been	i	c
very	c	c
looky	i	c
to	c	i
be	c	i
born	c	i
in	c	i
the	c	i
Century	i	i
because	c	c
all	i	c
the	c	i
amaizing	i	i
human	c	c
inventions	c	i
.	c	i

As	c	i
an	c	i
example	c	c
let	c	i
's	c	c
have	c	c
a	c	c
look	c	c
and	c	c
we	c	c
will	c	c
see	c	c
of	i	c
this	c	c
nation	c	c
how	i	c
it	c	i
has	c	i
developed	c	i
.	c	i

We	c	c
just	c	i
need	c	i
to	c	i
think	c	c
about	c	c
the	c	c
first	c	i
world	c	i
wold	i	i
and	c	c
all	c	c
the	c	i
inventions	c	i
created	c	i
thanks	c	i
to	c	i
the	c	i
industrial	c	i
revolution	c	i
to	i	i
these	i	i
day	i	c
.	c	i

However	c	i
I	i	i
feel	c	c
that	c	c
at	c	i
the	c	c
moment	c	i
there	c	i
should	c	i
emerge	c	c
more	c	i
grups	i	i
to	c	i
control	c	i
this	c	c
development	c	c
because	c	c
the	i	c
industrial	c	c
polution	i	i
that	c	c
it	i	c
has	c	c
been	c	c
created	c	i
and	c	c
it	c	c
seems	c	c
that	c	c
its	i	c
very	c	c
little	c	c
what	i	i
has	i	i
been	i	c
done	i	i
at	c	i
the	c	i
moment	c	i
in	c	c
relation	c	c
to	c	c
our	c	c
embiroment	i	c
.	c	i

I	c	i
hope	c	c
in	c	c
the	c	c
future	c	c
there	c	c
will	c	c
be	c	c
more	c	c
and	c	c
more	c	c
people	c	c
interested	c	c
in	c	c
this	c	c
important	c	c
issue	c	c
.	c	i

I	c	i
am	c	c
writing	c	c
in	c	c
reply	c	c
to	c	c
your	c	i
enquiry	c	c
about	c	c
this	c	c
year	i	c
international	c	c
conference	c	c
.	c	c

The	c	c
conference	c	c
will	c	c
be	c	c
held	c	c
at	c	i
The	c	c
Palace	c	i
Hotel	c	c
on	c	c
Old	c	c
Street	c	c
.	c	c

There	c	c
will	c	c
be	c	c
signs	c	c
to	c	c
follow	c	c
from	c	c
Central	i	c
train	c	c
station	c	c
.	c	c

The	c	c
conference	c	c
is	i	c
commensing	i	c
on	c	c
31st	c	i
June	c	c
2001	c	c
from	c	c
10.00-15.00	c	c
.	c	i

Light	i	c
lunch	c	c
will	c	c
be	c	c
provided	c	c
.	c	c

After	c	c
the	c	c
conference	c	c
,	c	c
there	c	c
will	c	c
be	c	c
a	c	c
relaxing	c	c
party	c	c
.	c	i

There	c	c
is	c	c
no	c	c
dressed-code	i	c
for	c	c
the	c	c
party	c	i
.	c	c

However	c	i
I	i	i
suggest	c	i
you	c	i
could	i	c
wear	c	c
the	c	c
same	c	c
outfit	c	c
as	i	c
you	c	i
wear	i	c
for	c	c
the	c	c
conference	c	c
.	c	c

I	c	i
have	c	i
included	c	c
the	i	c
local	c	c
map	c	c
,	i	c
there	i	i
are	c	i
some	c	i
ideas	i	c
at	i	c
the	c	c
back	c	c
of	c	c
the	c	c
map	c	c
.	c	c

Please	c	c
let	c	c
me	c	i
know	c	c
if	c	c
you	c	i
would	c	c
like	c	c
to	c	c
book	c	c
one	c	c
of	c	c
the	c	c
city-walk	c	c
tours	c	c
,	i	c
We	c	c
have	c	c
arrange	i	c
spacial	i	c
discounts	c	i
for	c	c
the	c	c
conference	c	c
attendance	i	c
.	c	c

Personly	i	i
I	c	i
recommend	c	c
the	c	c
Dicken	i	c
's	i	c
tour	c	c
because	c	c
it	c	c
is	c	c
a	c	c
good	c	c
length	c	c
of	i	c
walking	i	c
and	c	c
very	c	c
historical	c	i
.	c	c

I	c	i
hope	c	c
that	c	c
I	c	i
have	c	c
covered	c	c
all	c	c
information	i	c
you	c	i
would	i	c
need	c	c
and	c	c
look	c	c
forward	c	c
to	c	c
seeing	c	c
you	c	i
.	c	i

P.S.	c	c
Please	c	i
find	c	c
the	c	c
enclosed	i	c
map	i	c
.	c	c

There	c	i
are	c	i
several	c	c
interesting	c	c
buildings	c	c
in	c	c
the	c	c
city	c	c
of	c	c
London	c	c
.	c	c

I	c	c
believe	c	c
Liverpool	c	c
Street	c	c
Station	c	c
is	c	c
at	c	c
the	c	c
top	c	i
list	i	i
.	c	c

The	c	c
building	c	c
itself	c	c
looks	c	c
grand	c	i
and	c	c
elegant	c	i
.	c	i

Despite	c	i
the	c	c
fact	c	c
that	c	c
this	c	c
building	c	c
has	i	c
served	i	i
half-a	i	c
million	c	c
commuters	c	i
in	c	c
a	c	c
day	c	c
,	c	c
it	c	c
always	i	c
clean	c	c
and	c	c
functional	c	c
.	c	i

There	c	c
are	c	c
two	c	c
parts	c	c
of	c	c
Liverpool	c	c
Street	c	c
Station	c	c
that	c	c
make	c	c
it	c	c
so	c	c
interesting	c	c
building	i	c
.	c	c

The	c	c
newly	c	c
decorated	c	c
section	c	c
is	c	c
fairly	c	c
modern	c	c
style	i	c
with	c	c
escalators	c	c
and	c	c
touched-screen	i	c
ticket	c	c
machine	i	c
.	c	c

It	c	c
is	c	c
also	c	c
very	c	c
well	c	c
linked	c	c
into	i	c
the	c	c
old	c	i
underground	c	c
station	c	c
which	i	c
it	i	c
is	c	c
such	c	c
a	c	c
contrast	c	c
in	c	c
transformation	i	c
.	c	c

The	c	c
old	c	c
bit	c	c
is	c	c
rather	c	c
unique	c	c
and	c	c
charming	c	i
.	c	c

You	c	i
could	i	c
really	c	c
imagine	c	c
how	i	c
it	c	c
looked	c	c
like	c	c
in	c	c
the	i	c
old	i	i
day	i	c
.	c	c

At	c	c
the	c	c
far	c	c
back	i	c
of	c	c
the	c	c
station	c	c
is	i	c
also	i	c
connected	c	c
to	c	c
a	c	c
spacious	c	c
well	i	c
designed	i	c
pedestrians	i	c
park	c	c
.	c	c

It	c	c
is	c	c
a	c	c
good	c	c
example	c	c
of	c	c
a	i	c
great	c	i
architecture	c	c
that	c	c
was	c	i
designed	c	c
to	c	i
provide	c	i
services	c	i
to	i	i
the	c	i
public	c	c
.	c	i

Finally	c	c
,	c	c
it	c	c
is	c	c
in	c	c
the	c	c
heart	c	c
of	c	c
city	i	c
and	c	c
everyone	i	c
would	i	c
be	i	c
able	i	i
to	i	c
find	i	i
without	i	c
doubt	i	c
.	c	c

I	c	c
am	c	c
glad	c	c
to	c	i
helping	i	c
you	c	i
for	i	c
the	c	c
organisation	c	c
of	c	c
the	c	c
international	c	c
student	c	c
conference	c	c
.	c	c

The	c	c
group	c	c
has	c	c
been	c	c
booked	c	c
into	c	c
the	c	c
Palace	c	i
Hotel	c	c
,	c	c
and	c	c
the	c	i
best	c	i
way	c	i
to	c	i
get	c	i
from	c	i
there	c	i
to	c	c
the	c	c
conference	c	c
is	c	c
by	c	c
tube	c	c
,	i	c
the	i	c
building	i	c
of	c	c
the	c	c
conference	c	c
is	c	c
then	c	c
five	c	c
minutes	c	i
by	c	c
footh	i	c
.	c	c

At	c	c
the	c	c
end-of-conference	i	c
there	c	c
is	c	c
a	c	c
party	c	i
,	c	c
where	c	c
we	c	c
can	c	c
eat	c	c
something	c	c
,	c	c
dance	c	c
and	c	c
speak	c	c
to	c	i
each	c	c
other	c	i
about	c	c
the	c	c
conference	c	c
.	c	i

For	c	c
the	c	c
party	c	c
I	c	i
suggest	c	i
you	c	i
to	i	i
wear	i	c
classic	c	i
clothes	c	c
;	c	c
maybe	c	i
something	c	c
black	c	c
and	c	c
not	c	i
red	c	c
or	c	c
pink	c	c
.	c	c

I	c	i
am	c	c
going	c	c
to	c	i
wear	c	c
black	i	c
classic	i	i
trousers	c	c
and	c	c
a	c	c
white	c	c
jorsey	i	c
-	c	c
it	c	c
can	i	c
be	c	c
that	c	c
this	c	c
information	c	c
give	i	i
you	c	i
some	c	c
idea	c	c
too.	c	c
.	i	c

On	c	c
the	c	c
last	c	i
day	c	c
we	c	c
are	c	c
going	c	c
